Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,30 second flight 25/02/16. Flat trim and calibrate before takeoff
16291,-0.05696755,0.009738938,0.05785767,-0.02174235,-0.1781455,0,-6.468086,61.44905,-994.9003,0.777,,
16369,-0.0530231,0.01014036,0.05794493,-0.03081644,-0.1363785,0,-14.71258,50.0568,-983.4456,0.772,,
16447,-0.03070034,0.002268928,0.05600762,-0.03297233,-0.08713686,0,-7.346245,52.03224,-1007.221,0.76,,
16525,-0.0222355,-0.001448623,0.05450663,-0.06636772,-0.09489517,0,2.637661,55.94475,-1013.839,0.752,,
16603,-0.01595231,-0.002513274,0.0524646,-0.03916276,-0.06876757,0,-13.71634,56.08395,-991.9351,0.748,,
16681,-0.01115265,-0.002321288,0.05124287,-0.07887447,-0.07194466,0,-2.901917,58.8804,-1002.148,0.741,,
16759,-0.00837758,-0.002687807,0.04982915,-0.05781889,-0.1496399,0,-5.423861,61.44658,-1014.795,0.739,,
16837,-0.004485496,-0.003333579,0.04843289,-0.04087974,-0.1513881,0,-9.815642,61.58847,-1002.44,0.738,,
16916,-0.003473205,-0.004642576,0.04742059,-0.08803755,-0.1835188,0,-3.696936,70.2966,-1007.823,0.733,,
16993,-0.007714355,-0.004031711,0.04792674,-0.05156546,-0.09934603,0,-5.161426,58.9138,-984.7233,0.736,,
17071,-0.008674286,-0.004415683,0.04836307,-0.07942957,-0.1361327,0,-14.3565,55.48185,-990.1098,0.739,,
17149,-0.008831366,-0.00572468,0.04930555,-0.03531485,-0.1424757,0,-11.2528,56.67922,-989.9255,0.738,,
17227,-0.007749262,-0.005689773,0.05096361,-0.03189509,-0.1252745,0,-6.095223,60.81725,-990.5863,0.738,,
17305,-0.006684611,-0.006387905,0.05169665,-0.02050346,-0.0530469,0,-8.139996,63.16706,-994.7457,0.733,,
17383,-0.000122173,-0.005689773,0.05225516,-0.03963808,-0.03887661,0,-10.00772,64.6076,-1002.78,0.73,,
17461,0.007225663,-0.003944444,0.05242969,-0.02994945,-0.004402913,0,-7.707733,59.57473,-1006.388,0.729,,
17539,0.01007055,-0.00312414,0.05227261,-0.0402807,-0.06727155,0,-12.66053,64.66617,-998.0526,0.729,,
17617,0.01373574,-0.002164208,0.05253441,-0.03188855,-0.0917349,0,-19.52725,58.39904,-987.1249,0.728,,
17695,0.02192134,-5.24E-05,0.05330235,-0.04072187,-0.08364932,0,-20.67501,56.33046,-981.8169,0.728,,
17773,0.02251475,0.00137881,0.05379105,-0.05593586,-0.05566185,0,-21.61453,67.37044,-986.267,0.731,,
17851,0.01691224,0.002007129,0.05415757,-0.06234279,-0.0292086,0,-2.880594,61.2688,-990.132,0.729,,
17929,0.00853466,0.003612831,0.05403539,-0.06909554,-0.01687326,0,-9.060939,49.0037,-993.5607,0.731,,
