Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(g x 10^-3),AccY(g x 10^-3),AccZ(g x 10^-3),Altitude(m)
1266,-0.0001047198,0.0003316125,0.004066617,-0.0001434994,4.014548E-05,0,-0.7389073,30.96227,-987.8105,0
1271,-0.000122173,0.0003316125,0.004066617,-0.0001420341,0.0001066143,0,-0.753806,30.53909,-990.0518,0
1276,-0.000122173,0.0003490658,0.00408407,-0.0001445777,7.726385E-05,0,-0.8126405,29.60546,-989.376,0
1281,-0.000122173,0.0003490658,0.00408407,-0.0001445777,7.726385E-05,0,-0.8126405,29.60546,-989.376,0
1286,-0.000122173,0.0003316125,0.00408407,-0.0001525549,-2.922293E-05,0,-0.9209307,27.88468,-988.6753,0
1291,-0.000122173,0.0003316125,0.00408407,-0.0001540557,-2.670326E-05,0,-0.8253824,30.2411,-988.4868,0
1296,-0.000122173,0.0003316125,0.004101524,-0.0001561838,-5.286611E-05,0,-0.8565412,29.0467,-989.3101,0
1301,-0.000122173,0.0003316125,0.004101524,-0.0001564652,-5.084024E-05,0,-0.7909445,30.09544,-988.9429,0
1306,-0.000122173,0.0003316125,0.004101524,-0.0001555219,-3.89469E-05,0,-0.7470252,30.52677,-988.7153,0
1311,-0.0001396263,0.0003316125,0.00408407,-0.000153791,-2.007088E-05,0,-0.719691,30.89496,-987.3218,0
1316,-0.0001396263,0.0003316125,0.004101524,-0.0001499054,4.727248E-05,0,-0.6272772,33.05919,-985.3213,0
1321,-0.0001570796,0.0003141593,0.00408407,-0.0001489325,5.428735E-05,0,-0.7302456,30.90895,-982.1421,0
1326,-0.0001570796,0.0003316125,0.00408407,-0.0001488842,4.506756E-05,0,-0.7584074,30.28688,-980.4341,0
1331,-0.0001570796,0.0003316125,0.00408407,-0.0001488842,4.506756E-05,0,-0.7584074,30.28688,-980.4341,0
1336,-0.0001396263,0.0003316125,0.004101524,-0.0001540873,-5.287368E-05,0,-0.8783489,28.14153,-977.1724,0
1341,-0.0001570796,0.0003490658,0.004101524,-0.000156075,-4.900678E-05,0,-0.8331336,30.29172,-974.9512,0
1346,-0.0001570796,0.0003490658,0.004101524,-0.0001604445,-6.923915E-05,0,-0.9366919,29.31638,-972.7856,0
